Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
9,6,7/19/18,42,34,,308,1,M,KCH,BHC,,,
9,6,7/19/18,42,34,,308,2,M,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,308,0,M,KCH,NSW,,,
10,6,7/19/18,42,34.5,,308,1,M,KCH,BHC,,,
10,6,7/19/18,42,34.5,,308,2,S,KCH,NSW,BHC,,
6,6,7/19/18,43,30,,315,0,S,KCH,NSW,,,
6,6,7/19/18,43,30,,315,1,T,KCH,BHC,,,
6,6,7/19/18,43,30,,315,2,T,KCH,BHC,NSW,,
7,6,7/19/18,43,30,,315,0,V,KCH,NSW,,,
7,6,7/19/18,43,30,,315,1,V,KCH,BHC,,,
7,6,7/19/18,43,30,,315,2,T,KCH,NSW,BHC,,
8,6,7/19/18,43,33.5,,315,0,V/T,KCH,NSW,,TOP/BOTTOM,
8,6,7/19/18,43,33.5,,315,1,S/T,KCH,BHC,,BOTTOM/TOP,
8,6,7/19/18,43,33.5,,315,2,T,KCH,NSW,BHC,,
9,6,7/19/18,43,34,,315,0,V/T,KCH,NSW,,TOP/BOTTOM,
9,6,7/19/18,43,34,,315,1,M/T,KCH,BHC,,TOP/BOTTOM,
9,6,7/19/18,43,34,,315,2,T,KCH,NSW,BHC,,
10,6,7/19/18,43,34.5,,315,0,M,KCH,NSW,,,
10,6,7/19/18,43,34.5,,315,1,T/M,KCH,BHC,,HALF/HALF,
10,6,7/19/18,43,34.5,,315,2,T,KCH,NSW,BHC,,
6,6,7/19/18,43,30,,318,0,V,KCH,NSW,,,
6,6,7/19/18,43,30,,318,1,V,KCH,BHC,,,
6,6,7/19/18,43,30,,318,2,V,KCH,BHC,NSW,,
7,6,7/19/18,43,30,,318,0,M,KCH,NSW,,,
7,6,7/19/18,43,30,,318,1,M,KCH,BHC,,,
7,6,7/19/18,43,30,,318,2,M,KCH,NSW,BHC,,
8,6,7/19/18,43,33.5,,318,0,M,KCH,NSW,,,
8,6,7/19/18,43,33.5,,318,1,M,KCH,BHC,,,
8,6,7/19/18,43,33.5,,318,2,M,KCH,NSW,BHC,,
9,6,7/19/18,43,34,,318,0,M,KCH,NSW,,,
9,6,7/19/18,43,34,,318,1,M,KCH,BHC,,,
9,6,7/19/18,43,34,,318,2,S,KCH,NSW,BHC,,
10,6,7/19/18,43,34.5,,318,0,V,KCH,NSW,,,
10,6,7/19/18,43,34.5,,318,1,M,KCH,BHC,,,
10,6,7/19/18,43,34.5,,318,2,T,KCH,NSW,BHC,,
6,6,7/19/18,43,30,,320,0,V,KCH,NSW,,,
6,6,7/19/18,43,30,,320,1,V,KCH,BHC,,,
6,6,7/19/18,43,30,,320,2,T,KCH,BHC,NSW,,
7,6,7/19/18,43,30,,320,0,V,KCH,NSW,,,
7,6,7/19/18,43,30,,320,1,V,KCH,BHC,,,
7,6,7/19/18,43,30,,320,2,V,KCH,NSW,BHC,,
8,6,7/19/18,43,33.5,,320,0,V,KCH,NSW,,,
8,6,7/19/18,43,33.5,,320,1,V,KCH,BHC,,,
8,6,7/19/18,43,33.5,,320,2,V,KCH,NSW,BHC,,
9,6,7/19/18,43,34,,320,0,M,KCH,NSW,,,
9,6,7/19/18,43,34,,320,1,M/S,KCH,BHC,,FRONT/BACK,
9,6,7/19/18,43,34,,320,2,T,KCH,NSW,BHC,,
10,6,7/19/18,43,34.5,,320,0,M,KCH,NSW,,,
10,6,7/19/18,43,34.5,,320,1,S,KCH,BHC,,,
10,6,7/19/18,43,34.5,,320,2,T,KCH,NSW,BHC,,
6,6,7/19/18,44,30,,343,0,V,KCH,NSW,,,
6,6,7/19/18,44,30,,343,1,V,KCH,BHC,,,
6,6,7/19/18,44,30,,343,2,T,KCH,BHC,NSW,,
7,6,7/19/18,44,30,,343,0,M,KCH,NSW,,,
7,6,7/19/18,44,30,,343,1,M,KCH,BHC,,,
7,6,7/19/18,44,30,,343,2,M,KCH,NSW,BHC,,
